from_addr,to_addr,amount,txid,hop,ts,is_change,from_entity,to_entity,from_labels,to_labels
bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,3.695e-05,0808212a9b5f0350deb01ebcd85554ace672ce2293e88e908e8b399406967e4d,1,1779139705,False,,individual,,
bc1pse2acfxsngw3vkk82yvfwugujx9gussuyv2ku76kqh2ww3plhkrsnu8m3v,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1.51e-05,790ffd13268f072e159be2085e89bc32b703c4f6befebf46815d7089ca46e67c,1,1779129004,False,,individual,,
bc1q6hvsj3dnafv7g3kpqcg85xjrpf8h6lr24vwasc,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,9.474e-05,1476227e6518ce129a9fdba4269e99ed2ef9c6b90f9612bb689ae38acf70a1ee,1,1779012670,False,,individual,,
bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1.206e-05,91421a2e62e0a2c6010111ede3d13ea838cd9439261786c475a1ee33be5ee112,1,1778939614,False,,individual,,
bc1qlpuyw0n4f67mmj0shxcapfn28w28q6ud87wwx5,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0.00035942,eafa5fcda2df03a6d0aae848eb336d823c288f54b4fa172b4529f52c60e2ffc6,1,1778855602,False,,individual,,
194C34zTL2fJ9JpYGSnu7d4ZfzpT2uioAV,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1e-05,d97097189c12289dbb25d94a86344137198b07b186024419047626509b484867,1,1778808710,False,,individual,,
bc1qcl7jrsgujxl5nt6qgm8c6pxdpk8c07jsg6cq4s,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1e-05,febf66d1870d2d4d610497bbd67e55dae623bdb0dcd98fe211d7b346693cdcac,1,1778656938,False,,individual,,
39e7PANJeUDieDLcGmtSfR3Uyryj9t4RYT,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0.00293,9d1dc9f36b8dbdcb00ba3e3ec067196b7babdd18f474583b5c9098d57c960dd7,1,1778646887,False,,individual,,
3Q2e6RDgYzFqWb9yWdnV8NnYQvn3mvcSiM,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0.00293,3755e6ae9f5f6ae40000e8d32ee50e94951bf8e20159c10931b5107211f7f09b,1,1778646887,False,,individual,,
3DfPY871F2vkFUmHrq9LYEdSFcU9NCuqzg,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0.00293,1c041f80d663a8adc9341a42dc640da4eeccf5ca3e159f2ba79ff1e3a6d1dfe6,1,1778646887,False,,individual,,
35BUbfGWPtRz5uVARK1p5e1mXnXrzcKiHU,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0.00293,4bf26f64c4b1b78dd878be68ce46471398b7f08eda19002f6fb7956221776670,1,1778646887,False,,individual,,
3BHWexA45FRTpifqe57tjfNj744GV9R3qd,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0.00293,a44fe4fd4be098a7f892c5be0da263b8a6031744c425e3608165169ce32c68f6,1,1778646887,False,,individual,,
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0.00016256,fa455dcf4ebe0584193b7b7c5407de1ac42aae7c84cc0cf3ff34d65bdcebee9c,1,1778634901,False,,individual,,
bc1qkydqmqrl7lkaz6y3zwt4mjaq0x95fg5xzukcew,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0.00051774,07071438f0e01254f1aba680fda6f5e8c4f348718ec9b3651ad3c812059b3ce5,1,1778554168,False,,individual,,
bc1qf43tdrym26qlz8rg06f88wg35n27uhcf29zs4f,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,6.785e-05,726b58804f358c2ed95c9a301edafac82f95a651289ff881e5febcb2df26c34d,1,1778504512,False,,individual,,
bc1qq2mvrp4g3ugd424dw4xv53rgsf8szkrv853jrc,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,4.311e-05,24154795e1bf81aa91fd1b6359aea2ca4ad614863eefab42eb79b6938f7c440a,1,1778465351,False,,individual,,
bc1q9fharzvhagzdf3deads5cxp8p0vx22fjxpfr9t,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1.466e-05,24c84d7e4cf82c8edaefaa9b7d132228bcb4b23273e60208dcadbcb113aded25,1,1778200186,False,,individual,,
194C34zTL2fJ9JpYGSnu7d4ZfzpT2uioAV,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1e-05,ad4d5bab2f189108670962f7a3c845a7bcbb89707b5e729b7f89bd83a8a3bbda,1,1778200186,False,,individual,,
bc1qcy6tv9lpz5yus7u27neue2aqnr36kqjmgd9a2a,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0.0008369,063f6b56b6bbc67e14cb83fa4154827a970c48aaea95b5e59cc767352f6495f6,1,1778012576,False,,individual,,
bc1qyx6xdkdqstdpvckf2elltn8wsg98ttjl7swvnm,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0.0008369,eddad5cd4efaee7ea4ef922bf5050ad9387524d1ac232bb56286055158400c09,1,1778012576,False,,individual,,
bc1qh6znzfrwflzr6d3l8sjzneaa0ejsgh7pualfne,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0.0008369,cf314b74fa0d6bc784ee09d43f8f9f78daf01fb27e461503d6d2ddc4110aa286,1,1778012576,False,,individual,,
bc1qevvemqgcdep3qyvg62zrarjwa238hum0m3r0l9,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1.008e-05,78e46e2011ef961bf0c2a320e184522adfc2d1b348488b1dc5f776f6ce2c5395,1,1777987790,False,,individual,,
bc1qcj9s7pae9zg8k4wlsqj7wpdwr4p728vek8lt53,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1.442e-05,21c86fe1595a7dbba5d447a4304291d8d623ae4da6eedf50cec609b7576ed3aa,1,1777985258,False,,individual,,
bc1qcj9s7pae9zg8k4wlsqj7wpdwr4p728vek8lt53,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1.442e-05,4607a61c521f84d17401e45faa0e73a9ecd45bbbc17febb541268c545a5099ca,1,1777985258,False,,individual,,
bc1qee2vagt065kjla9v5g45wzcswlppmfjnx5r39w,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0.00096234,06cd317d2bdf21d3a2a36243c7745360cc27a8a341b830158d764a3f173d7010,1,1777963537,False,,individual,,
bc1qru5qqlndzyy2fpax55403npeqh3gm0csc7nx3h,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,7.5e-05,b0912a966e1a26ceea0939dc0bc8fd11ab82dad670c676284380af62065c1fb9,1,1777929876,False,,individual,,
14CQCSES2PE7yCicighXhQ7HtTmykJushT,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1.254e-05,99e6104b53e6c873657c950cc5745ae8e27e11c2a965886e3ef4078384afbf0b,1,1777906457,False,,individual,,
bc1qujepl0k5n0ga2e86yskvxa6auehpf6dlf84dx0,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0.00020518,a0db3b4ba5fc6e618101e1107b22c0f3151fb2804aa7c9021d6c8ca71dbcaf3b,1,1777881522,False,,individual,,
bc1p8zl0stxvu66la08k7maxglerfcxhyc6z6nuqjqmw98ywsr8uev2qsvy37d,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1.464e-05,335e3181a62e3941d69d9f46af9b50f5d614d2005fa20c19201293529a18987f,1,1777866930,False,,individual,,
bc1q40k87adh8ykzh0t5csv5ua53xc6vcpqsshgxc49yerpr6j39tgjsky0k7e,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1.503e-05,13a907c539734b2ab8e7065b2be4296c2985d30eea386f1609cd178233702aa1,1,1777855723,False,,individual,,
bc1qjw9yu3ywsrw0pdgj9hrqvvuvwf8dv6k64r9d0p,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,2e-05,25116b35ee7a0a9270f0969d2585310271ae487b468cf37b61be5b8174b30a99,1,1777811912,False,,individual,,
